date,MSFT,GOOGL,AMZN,JPM,JNJ,PG,XOM,CAT,NEE,APD,SPY
2015-07-14,39.1684569269,28.9319818818,23.2785,51.5487791306,73.3538491232,59.8898296968,51.5987994482,64.4118289198,19.0330628884,104.8733051255,175.5280165673
2015-07-15,39.2886582414,28.9210862058,23.0595,51.6607767678,73.824348857,59.9701305411,51.3815021338,64.1830395677,19.1786241106,105.1102810318,175.4530473119
2015-07-16,40.0613809778,29.8036359629,23.774,51.9370376061,74.3316063825,60.0796316925,51.4746295542,64.4652131019,19.4884082501,104.7815725166,176.8191537431
2015-07-17,40.0270377451,34.6492402412,24.1505,51.6757097861,73.5743958734,60.0358312319,51.2883747133,64.0034279078,19.3428470279,104.1241554861,176.9857520883
2015-07-20,40.2846119906,34.3134553168,24.405,51.7130423318,73.7875910653,59.9993308481,50.7606526638,63.3030536967,19.2495385522,103.3826502308,177.1107008473
2015-07-21,40.5937010851,34.437765075,24.4,51.5935781855,73.7655363903,59.5905265499,50.6985677168,63.279964437,19.0591892616,102.0066610973,176.3943279626
2015-07-22,39.0997704614,34.425383625,24.4135,52.3252960816,73.6479114568,59.4904424976,50.7792781479,61.386645141,19.1842226191,101.5174205165,176.0028218513
2015-07-23,39.5891615278,33.4165430776,24.109,51.9967696792,73.6626145735,59.3947632012,50.3757259924,59.1700762091,19.0479922445,101.4486210599,175.044881366
2015-07-24,39.4432027887,32.4280081083,26.471,51.4517145117,72.8907009477,59.0930054204,49.6307066285,58.5697554567,19.0871818043,99.42285928,173.2122995682
2015-07-27,38.936640106,32.6013484086,26.5705,50.7797286888,72.2511153721,58.8574871524,49.2085289889,57.9694347044,19.3148544852,98.4749556547,172.2127094966
2015-07-28,38.9280542978,32.6701892707,26.3015,50.8095947253,72.7951306893,59.0488457451,51.2076642822,59.8627540003,19.4249584866,101.5327092847,174.3534982332
2015-07-29,39.7437060751,32.7578499368,26.45,51.4741140392,73.3170913315,59.3358836342,51.6174249323,59.5164151047,19.5182669624,102.5417679826,175.5696661536
2015-07-30,40.2502687578,32.912865691,26.838,51.5487791306,73.3979584732,56.958621117,51.5367145012,60.3014499348,19.5742520479,108.8101629241,175.6113157399
2015-07-31,40.0957242106,32.5632135425,26.8075,51.1679871643,73.6699661318,56.4507848517,49.1774865154,60.516949692,19.6321033028,108.9401174534,175.3031088012
2015-08-03,40.1901681006,32.920789819,26.7515,51.1679871643,73.5302865234,56.2299864755,48.4635096249,59.4625401654,20.1005118512,111.5162748867,174.7033547582
2015-08-04,40.8169320979,32.7504210668,26.595,51.1157216002,73.3685522399,55.8693491277,47.9109535967,58.9545764519,19.8821700179,111.6768069523,174.3618281505
2015-08-05,40.8512753306,33.3452259255,26.8505,51.3173173471,73.8978644404,55.7663098854,47.9109535967,59.1700762091,19.773932186,112.7164431865,175.011561697
2015-08-06,40.0270377451,33.1897149133,26.473,50.9589249082,72.831888481,55.7442300478,48.482135109,59.6164685635,19.7347426262,112.3877346712,173.5538261759
2015-08-07,40.1300674433,32.904446305,26.131,50.8095947253,72.6701541975,55.5528714551,47.6998647769,59.4856294251,19.9680138156,111.753250793,173.1956397336
